[start] baseline spend $2.5010  cap=$19.90
[76/131] gen    omikogo-bleeding-hollow  cost=$0.1400  total=$12.0210  cutout=ok
[77/131] gen    onessarain-area-52  cost=$0.1400  total=$12.1610  cutout=ok
[78/131] gen    onesubstance-bleeding-hollow  cost=$0.1400  total=$12.3010  cutout=ok
[79/131] gen    onetruemorty-area-52  cost=$0.1400  total=$12.4410  cutout=FLAGGED
[80/131] gen    orx-bleeding-hollow  cost=$0.1400  total=$12.5810  cutout=FLAGGED
[81/131] gen    oynax-bleeding-hollow  cost=$0.1400  total=$12.7210  cutout=FLAGGED
[82/131] gen    padremort-dawnbringer  cost=$0.1400  total=$12.8610  cutout=ok
[83/131] gen    paleghost-sargeras  cost=$0.1400  total=$13.0010  cutout=ok
[84/131] gen    ragedx-bleeding-hollow  cost=$0.1400  total=$13.1410  cutout=FLAGGED
[85/131] gen    rakbear-proudmoore  cost=$0.1400  total=$13.2810  cutout=ok
[86/131] skip  rakdisc-proudmoore  (already has profile+board)
[87/131] gen    rakell-proudmoore  cost=$0.1400  total=$13.4210  cutout=ok
[88/131] gen    ranaria-area-52  cost=$0.1400  total=$13.5610  cutout=ok
[89/131] gen    ravokoflight-eldrethalas  cost=$0.1400  total=$13.7010  cutout=ok
[90/131] gen    rexxhavocc-area-52  cost=$0.1400  total=$13.8410  cutout=ok
[91/131] gen    rhansìk-area-52  cost=$0.1400  total=$13.9810  cutout=ok
[92/131] gen    ricodandolo-area-52  cost=$0.1400  total=$14.1210  cutout=ok
[93/131] gen    rougex-bleeding-hollow  cost=$0.1400  total=$14.2610  cutout=FLAGGED
[94/131] gen    sandgs-area-52  cost=$0.1400  total=$14.4010  cutout=ok
[95/131] gen    scounddrel-maelstrom  cost=$0.1400  total=$14.5410  cutout=FLAGGED
[96/131] gen    shadowbelle-queldorei  cost=$0.1400  total=$14.6810  cutout=ok
[97/131] gen    shadoxi-illidan  cost=$0.1400  total=$14.8210  cutout=ok
[98/131] gen    shadoxii-illidan  cost=$0.1400  total=$14.9610  cutout=ok
[99/131] gen    shamanmates-korgath  cost=$0.1400  total=$15.1010  cutout=FLAGGED
[100/131] gen    shamnos-bleeding-hollow  cost=$0.1400  total=$15.2410  cutout=FLAGGED
[101/131] gen    shaollynn-illidan  cost=$0.1400  total=$15.3810  cutout=ok
[102/131] gen    sidarien-eitrigg  cost=$0.1400  total=$15.5210  cutout=FLAGGED
[103/131] gen    sinistrad-stormrage  cost=$0.1400  total=$15.6610  cutout=FLAGGED
[104/131] gen    skoala-frostwolf  cost=$0.1400  total=$15.8010  cutout=ok
[105/131] gen    slicerdicer-bleeding-hollow  cost=$0.1400  total=$15.9410  cutout=ok
[106/131] gen    sômbrá-gorgonnash  cost=$0.1400  total=$16.0810  cutout=ok
[107/131] gen    tankmates-korgath  cost=$0.1400  total=$16.2210  cutout=ok
[108/131] gen    tarvos-bleeding-hollow  cost=$0.1400  total=$16.3610  cutout=FLAGGED
[109/131] gen    thiccat-illidan  cost=$0.1400  total=$16.5010  cutout=ok
[110/131] gen    thunderbloom-mannoroth  cost=$0.1400  total=$16.6410  cutout=FLAGGED
[111/131] gen    tinyx-bleeding-hollow  cost=$0.1400  total=$16.7810  cutout=FLAGGED
[112/131] gen    tommybravo-bleeding-hollow  cost=$0.1400  total=$16.9210  cutout=FLAGGED
[113/131] gen    tommybravoo-bleeding-hollow  cost=$0.1400  total=$17.0610  cutout=ok
[114/131] gen    tommybravoox-bleeding-hollow  cost=$0.1400  total=$17.2010  cutout=FLAGGED
[115/131] gen    tommybravox-bleeding-hollow  cost=$0.1400  total=$17.3410  cutout=ok
[116/131] gen    tommybravoxx-bleeding-hollow  cost=$0.1400  total=$17.4810  cutout=ok
[117/131] gen    trollimon-sargeras  cost=$0.1400  total=$17.6210  cutout=FLAGGED
[118/131] gen    târheel-shuhalo  cost=$0.1400  total=$17.7610  cutout=FLAGGED
[119/131] gen    uddershock-queldorei  cost=$0.1400  total=$17.9010  cutout=FLAGGED
[120/131] gen    unholyx-bleeding-hollow  cost=$0.1400  total=$18.0410  cutout=ok
[121/131] gen    valkyrïe-bleeding-hollow  cost=$0.1400  total=$18.1810  cutout=ok
[122/131] gen    violënce-bleeding-hollow  cost=$0.1400  total=$18.3210  cutout=ok
[123/131] gen    viôlence-bleeding-hollow  cost=$0.1400  total=$18.4610  cutout=ok
[124/131] gen    wabisukee-bleeding-hollow  cost=$0.1400  total=$18.6010  cutout=ok
[125/131] gen    waifumllkers-shuhalo  cost=$0.1400  total=$18.7410  cutout=ok
[126/131] gen    widowx-bleeding-hollow  cost=$0.1400  total=$18.8810  cutout=ok
[127/131] gen    wirmati-dalaran  cost=$0.1400  total=$19.0210  cutout=ok
[128/131] gen    wolfx-bleeding-hollow  cost=$0.1400  total=$19.1610  cutout=ok
[129/131] gen    xavira-proudmoore  cost=$0.1400  total=$19.3010  cutout=FLAGGED
[130/131] reused yur-whisperwind  cost=$0.0000  total=$19.3010  cutout=FLAGGED
[131/131] gen    zackoh-bloodhoof  cost=$0.1400  total=$19.4410  cutout=ok

[done] generated/reused=131 failed=0 skipped_budget=0 flagged=47
[done] running total $19.4410 / $20.00
[done] flagged cutouts (may need plain-bg variant): ['aiime-bleeding-hollow', 'aimme-bleeding-hollow', 'anbux-bleeding-hollow', 'balcmeg-queldorei', 'beroben-queldorei', 'botso-bleeding-hollow', 'breakdruid-area-52', 'buchalter-area-52', 'dathar-area-52', 'dragoonx-bleeding-hollow', 'flemel-area-52', 'floofwall-queldorei', 'fluffy-korgath', 'glinkz-wyrmrest-accord', 'grëywolf-eldrethalas', 'healyeah-queldorei', 'hellful-lightnings-blade', 'holyx-bleeding-hollow', 'huntlowx-bleeding-hollow', 'iamdapopemon-area-52', 'impkiller-tichondrius', 'imshaman-bleeding-hollow', 'kreleran-bleeding-hollow', 'martylol-illidan', 'mushabi-anubarak', 'nivella-dawnbringer', 'ohnomyais-area-52', 'onetruemorty-area-52', 'orx-bleeding-hollow', 'oynax-bleeding-hollow', 'ragedx-bleeding-hollow', 'rougex-bleeding-hollow', 'scounddrel-maelstrom', 'shamanmates-korgath', 'shamnos-bleeding-hollow', 'sidarien-eitrigg', 'sinistrad-stormrage', 'tarvos-bleeding-hollow', 'thunderbloom-mannoroth', 'tinyx-bleeding-hollow', 'tommybravo-bleeding-hollow', 'tommybravoox-bleeding-hollow', 'trollimon-sargeras', 'târheel-shuhalo', 'uddershock-queldorei', 'xavira-proudmoore', 'yur-whisperwind']
